Name,Squad Number,Date of Birth,Nationality,Position,Height (cm),Weight (kg),Apps,Mins,Goals,Assists,Yellow Cards,Red Cards,Shots pG,Key Pass pG,Dribbles pG,Passes pG,Pass Percentage,Crosses pG,Long Balls pG,Through Balls pG,Tackles pG,Interceptions pG,Fouls pG,Offsides pG,Clearances pG,Blocks pG,Own Goals
Alexis Sánchez,7,1988-12-19,Chile,FW,169,62,12,1048,2,3,1,0,1.6,2.2,3.7,48.5,76.1,0.7,1.9,0.3,1.8,1.4,0.8,0,0,0,0
Paul Pogba,6,1993-03-15,France,M(C),191,84,25(2),2151,6,10,5,1,2.8,1.4,2.8,63.7,85.3,0.1,4.1,0.2,1.2,0.8,1.6,0,0.9,0,0
Sergio Romero,20,1987-02-22,Argentina,GK,192,87,1,90,0,0,0,0,0,0,0,20,60,0,6,0,0,0,0,0,0,0,0
Romelu Lukaku,9,1993-05-13,Belgium,FW,190,93,33(1),2869,16,7,4,0,2.5,1,1,21.2,68.4,0.3,0.6,0.1,0.2,0.1,0.9,0,0.6,0.1,0
Chris Smalling,12,1989-11-22,England,D(C),194,81,28(1),2536,4,0,4,0,0.4,0.1,0.1,39.2,87.6,0,1.5,0,1.4,2.2,0.8,0.2,5.5,1,0
Phil Jones,4,1992-02-21,England,D(C),180,71,23,1975,0,0,2,0,0.1,0.1,0.3,47.1,91.2,0,2.3,0,1.1,1.8,0.4,0.4,5.6,0.7,1
Nemanja Matic,31,1981-08-01,Serbia,M(D),194,85,35(1),3119,1,1,6,0,0.5,0.7,1.5,72.3,87.7,0.1,4.9,0,1.9,1.8,0.9,0.1,1.6,0.4,0
Ashley Young,18,1985-07-09,England,D(L),175,65,28(2),2448,2,4,7,0,0.6,0.9,1,42.8,79.5,1.1,3.2,0,1.8,1.9,1,0.2,2.4,0.2,0
Antonio Valencia,25,1985-08-04,Equador,D(R),180,83,31,2743,3,1,7,0,0.5,0.7,0.9,51.7,85.3,0.5,2.4,0,1.8,1.5,1.2,0.1,1.9,0.2,0
Eric Bailly,3,1994-04-12,Ivory Coast,D(C),187,77,11(2),1000,1,0,2,0,0.2,0.2,0.3,32.8,86.2,0,1.4,0.1,1.3,1.9,0.8,0.6,4.3,0.5,1
Henrikh Mkhitarian,22,1989-01-21,Armenia,M(R),177,75,11(4),931,1,5,2,0,1,1.9,0.9,35.4,82.5,0.7,0.9,0.3,1,0.5,0.7,0,0.1,0,0
Marouane Fellaini,27,1987-11-22,Belgium,M(C),194,85,5(11),613,4,0,1,0,0.6,0.3,0.3,24.6,85.2,0,0.7,0,0.9,0.9,0.8,0,1.1,0.2,0
Anthony Martial,11,1995-12-05,France,FW,181,76,18(12),1584,9,5,1,0,1.6,1.1,1.4,24.4,81.9,0.2,0.4,0,0.5,0.1,0.6,0,0.2,0,0
Juan Mata,8,1988-04-28,Spain,M(R),170,63,23(5),1933,3,5,1,0,1,1.8,0.6,43.4,86.7,1.1,1.9,0,0.6,0.5,0.4,0,0.3,0,0
Luke Shaw,23,1995-07-12,England,D(L),185,75,8(3),789,0,0,2,0,1.1,0.8,0.5,43.4,84.9,0,0.7,0,1.6,0.4,0.4,0,1.7,0.2,0
Daley Blind,17,1990-03-09,Netherlands,D(C),180,72,4(3),361,0,0,0,0,0.4,0.6,0.1,32,85.3,1.3,1.6,0,0.9,1,0.6,0,1.7,0,0
David de Gea,1,1990-11-07,Spain,GK,192,76,37,3330,0,0,0,0,0,0,0,25.5,57.5,0,7,0,0,0,0,0,0.4,0,0
Jesse Lingard,14,1992-12-15,England,M(L),175,62,20(13),1823,8,5,2,0,1.7,0.8,0.8,28.2,87.8,0.2,0.6,0,0.9,0.3,1,0,0.3,0.1,0
Marcus Rashford,19,1997-10-31,England,FW,180,70,17(18),1810,7,5,3,0,1.7,0.6,1.3,16.5,78.3,0.3,0.5,0.1,0.4,0.2,0.6,0,0.4,0,0
Michael Carrick,16,1981-07-28,England,M(C),188,74,1(1),109,0,0,0,0,1,0.5,1,49.5,84.8,0,6,0.5,0.5,0.5,0.5,0,1.5,0,0
Victor Lindelöf,2,1994-07-17,Sweden,D(C),187,80,13(4),1284,0,0,1,0,0.1,0.1,0.2,44.2,90.8,0,1.8,0,1,0.8,0.6,0.5,3.8,0.6,0
Marcos Rojo,5,1990-03-20,Argentina,D(C),187,85,8(1),642,0,0,6,0,0.6,0.2,0.4,39.8,81.6,0,2.1,0,0.8,0.8,0.9,0.2,6,0.7,0
Matteo Darmian,36,1989-12-02,Italy,D(R),182,70,5(3),444,0,0,0,0,0.3,0.1,0.1,24.4,83.6,0,1.1,0,2,0.9,0.6,0.3,2.8,0.4,0
Ander Herrera,21,1989-08-14,Spain,M(C),182,70,13(13),1262,0,2,5,0,0.5,0.4,0.4,40.1,87.6,0,1.5,0.1,2.2,1.3,1.1,0,0.8,0.2,0
Scott McTominay,39,1996-12-08,Scotland,M(D),193,88,7(6),630,0,0,2,0,0.1,0.2,0.4,26.4,88,0,0.9,0,0.8,1,0.5,0.1,0.7,0,0
Zlatan Ibrahimovic,10,1981-10-03,Sweden,FW,195,95,1(4),103,0,0,0,0,0.8,0.4,0,15.2,76.3,0.2,0.6,0,0.4,0,0.2,0,0.2,0,0
Axel Tuanzebe,38,1997-11-14,England,D(R),182,75,0(1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
